observed_at,bar_start,bar_end,bar_timeframe,pair,close,buy_volume,sell_volume,volume,delta,delta_direction,speed_score,prior_speed_score,speed_change_pct,speed_change_ratio,speed_lifecycle,eligible_for_paper_entry,flow_ready,flow_reason,record_type,source_event_key,delta_norm
2026-08-13T07:20:42.150228+00:00,1786605300,1786605600,5m,LTC/USD,44.97,15.446733969999999,133.90132529,149.34805926,-118.45459131999999,DOWN,0.7931444968681006,0.39465616592066327,100.97101359555204,2.0097101359555203,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,LTC/USD|5m|1786605300,0.7931445
2026-08-13T07:25:16.212416+00:00,1786605600,1786605900,5m,LINK/USD,8.75438,2.7412731,0.0,2.7412731,2.7412731,UP,1.0,0.5994751710513507,66.81258011840836,1.6681258011840836,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,LINK/USD|5m|1786605600,1.0
2026-08-13T07:30:36.017282+00:00,1786605900,1786606200,5m,SOL/USD,76.42,47.54161551,1.16261488,48.70423039,46.37900063,UP,0.9522581561934008,0.6995427264416598,36.12580335689,1.3612580335689,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,SOL/USD|5m|1786605900,0.95225816
2026-08-13T07:30:36.017313+00:00,1786605900,1786606200,5m,ETH/USD,1895.95,15.62332299,1.63093891,17.2542619,13.99238408,UP,0.8109523409981392,0.5712227130390793,41.96780388574273,1.4196780388574275,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,ETH/USD|5m|1786605900,0.81095234
2026-08-13T07:35:25.359641+00:00,1786606200,1786606500,5m,BTC/USD,63824.6,0.5762347999999998,0.04142758999999999,0.61766239,0.5348072099999999,UP,0.8658568477837867,0.17949719407439543,382.37904344338585,4.823790434433859,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,BTC/USD|5m|1786606200,0.86585685
2026-08-13T07:35:25.359698+00:00,1786606200,1786606500,5m,ADA/USD,0.184364,9077.62857972,885.9375,9963.56607972,8191.69107972,UP,0.822164575833295,0.48537382428583026,69.38790983279995,1.6938790983279997,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,ADA/USD|5m|1786606200,0.82216458
2026-08-13T07:35:40.606227+00:00,1786606200,1786606500,5m,LTC/USD,44.91,7.01244923,1.26901649,8.28146572,5.743432739999999,UP,0.6935285291502722,0.17057675779518336,306.5785621174796,4.065785621174795,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,LTC/USD|5m|1786606200,0.69352853
2026-08-13T07:36:56.773961+00:00,1786606200,1786606500,5m,DOT/USD,0.7744,0.0,1109.9168999999995,1109.9169,-1109.9168999999995,DOWN,0.9999999999999996,0.24585880790432071,306.73751269027673,4.067375126902768,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,DOT/USD|5m|1786606200,1.0
2026-08-13T07:40:45.186309+00:00,1786606500,1786606800,5m,SOL/USD,76.43,9.10634099,138.2508454,147.35718639,-129.14450441,DOWN,0.8764045213797869,0.16892473961467944,418.81359910862216,5.188135991086222,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,SOL/USD|5m|1786606500,0.87640452
2026-08-13T07:41:00.430918+00:00,1786606500,1786606800,5m,LTC/USD,44.91,45.37357512,0.49642013,45.86999525,44.87715499,UP,0.9783553441723978,0.6935285291502722,41.069228308617994,1.4106922830861799,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,LTC/USD|5m|1786606500,0.97835534
2026-08-13T07:45:34.571939+00:00,1786606800,1786607100,5m,ETH/USD,1895.51,1.2790096,23.165984300000005,24.4449939,-21.886974700000007,DOWN,0.895356112156772,0.4983646172614006,79.65884437721684,1.7965884437721684,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,ETH/USD|5m|1786606800,0.89535611
2026-08-13T07:45:34.571985+00:00,1786606800,1786607100,5m,DOGE/USD,0.0705785,41.03,22386.1064,22427.1364,-22345.0764,DOWN,0.9963410397771515,0.6080337813683826,63.86277708697069,1.6386277708697068,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,DOGE/USD|5m|1786606800,0.99634104
2026-08-13T07:45:34.572001+00:00,1786606800,1786607100,5m,LINK/USD,8.75174,0.0,0.55124423,0.55124423,-0.55124423,DOWN,1.0,0.5619650290781311,77.94701596297519,1.7794701596297517,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,LINK/USD|5m|1786606800,1.0
